#,Category,Android Action,1st apply,1st test,2nd apply,2nd test,3rd apply,3rd test
1,verification_mobile,,,,,,,
2,,to_mobile_country,,,,,,
3,,input_mobile,,,,,,
4,,to_terms,,,,,,
5,,to_verification_code,,,,,,
6,,tab_mobile_error,,,,,,
7,,tab_signup,,,,,,
8,,tab_mobile_cancel,,,,,,
9,verification_mobile_country,,,,,,,
10,,select_country,,,,,,
11,,cancel_select_country,,,,,,
12,verification_code,,,,,,,
13,,input_code,,,,,,
14,,tab_deletecode,,,,,,
15,,tab_retry,,,,,,
16,,to_campaign_list,,,,,,
17,,tab_code_error,,,,,,
18,page_error,,,,,,,
19,,tab_retry,,,,,,
20,,to_campaign_tab,,,,,,
21,,to_maps_tab,,,,,,
22,,to_profile_tab,,,,,,
23,campaignlist_nomake,,,,,,,
24,,tab_startmaking,,,,,,
25,,to_campaign_tab,,,,,,
26,,to_maps_tab,,,,,,
27,,to_myprofile_tab,,,,,,
28,campaignlist,,,,,,,
29,,to_right,,,,,,
30,,to_left,,,,,,
31,,to_campaign,,,,,,
32,,to_campaign_tab,,,,,,
33,,to_maps_tab,,,,,,
34,,to_profile_tab,,,,,,
35,campaignlist_campaign_transitioned,,,,,,,
36,,to_campaignlist,,,,,,
37,,tab_checkitout,,,,,,
38,campaignlist_campaign_default,,,,,,,
39,,to_campaignlist,,,,,,
40,,to_leaderboard,,,,,,
41,campaign_leaderboard_top1,,,,,,,
42,,to_campaign,,,,,,
43,,to_userprofile,,,,,,
44,campaign_leaderboard_notop1,,,,,,,
45,,to_campaign,,,,,,
46,,to_otherprofile,,,,,,
47,myprofile,,,,,,,
48,,to_settings,,,,,,
49,,tab_seemore,,,,,,
50,,to_myprofile_editprofile,,,,,,
51,,to_campaign_tab,,,,,,
52,,to_maps_tab,,,,,,
53,,to_profile_tab,,,,,,
54,myprofile_settings,,,,,,,
55,,toggle_notification_on,,,,,,
56,,toggle_notification_off,,,,,,
57,,to_help_web,,,,,,
58,,to_copyright_web,,,,,,
59,,to_privacy_web,,,,,,
60,,to_terms_web,,,,,,
61,,to_opensource,,,,,,
62,,tab_clearcache,,,,,,
63,,tab_logout,,,,,,
64,myprofile_editprofile,,,,,,,
65,,tab_thumbnail,,,,,,
66,,to_changephoto,,,,,,
67,,to_takephoto,,,,,,
68,,to_username,,,,,,
69,,to_status,,,,,,
70,,to_city,,,,,,
71,,to_artists,,,,,,
72,,to_songs,,,,,,
73,,auth_denied_storage,,,,,,
74,,auth_deinged_photo,,,,,,
75,myprofile_editprofile_username,,,,,,,
76,,input_username,,,,,,
77,,to_save_username,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,tab_hide_error,,,,,,
82,myprofile_editprofile_gallery,,,,,,,
83,,tab_image,,,,,,
84,,to_cancel,,,,,,
85,myprofile_editprofile_status,,,,,,,
86,,input_status,,,,,,
87,,to_save_status,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,tab_hide_error,,,,,,
92,myprofile_editprofile_city,,,,,,,
93,,input_status,,,,,,
94,,to_save_status,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,tab_hide_error,,,,,,
99,myprofile_editprofile_myartists,,,,,,,
100,,to_addartist,,,,,,
101,,to_save_artist,,,,,,
102,,tab_cancel,,,,,,
103,editprofile_myartists_addartist,,,,,,,
104,,input_artist,,,,,,
105,,tab_select_artist,,,,,,
106,,to_cancel_addartist,,,,,,
107,myprofile_editprofile_mysongs,,,,,,,
108,,to_addsong,,,,,,
109,,to_save_song,,,,,,
110,,tab_cancel,,,,,,
111,editprofile_myartists_addsong,,,,,,,
112,,input_song,,,,,,
113,,tab_select_song,,,,,,
114,,to_cancel_addsong,,,,,,
total,21,84,,,,,,
